Valeur0 Valeur1 Valeur2 Valeur3 Valeur4 Valeur5
1.929774398781776146e+00 -6.350237229742950795e+00 -7.536647453036835032e+00 -9.716369889696487405e+00 2.830446860779588292e+00 -7.240603867662398940e+00
2.797371334759870543e+00 -2.250998010425368179e+00 -8.630091044934324884e+00 -7.897465401879969704e+00 3.059498945213616317e+00 -6.332666635042505376e+00
3.202362108146474817e+00 -4.183225444829461459e+00 -8.737625048038276887e+00 -8.686636501661649135e+00 2.623157295257683153e+00 -6.339747554338996061e+00
3.699047033134476248e+00 -4.009441730705061602e+00 -6.587090923282787003e+00 -8.338087455020495753e+00 4.672710238945441574e+00 -7.113507345236321555e+00
3.968238079151995557e+00 -3.524011184841948641e+00 -7.648555229362812291e+00 -7.808235493447512887e+00 2.628754289663270072e+00 -9.259751917037956304e+00
3.601081744519403216e+00 -3.287924175234045787e+00 -8.441200590491067857e+00 -9.412554477818805054e+00 4.110005361729736073e+00 -6.792018457935346198e+00
2.993027743958657005e+00 -3.381937833189128551e+00 -7.198047792760752905e+00 -1.109516062792099156e+01 4.039207430188565873e+00 -8.374087629544451516e+00
4.338486432991657260e+00 -4.120285522179781168e+00 -9.183079447509900461e+00 -9.252420552966666989e+00 3.773683022328476966e+00 -6.902718107022259630e+00
3.179776440115964942e+00 -5.975344161582679448e+00 -6.654040895565339397e+00 -8.020735615756928283e+00 4.221032601386402128e+00 -6.939407850148145762e+00
4.078689968086307793e+00 -4.043703720382344713e+00 -6.815989759541309034e+00 -8.598273173939455560e+00 3.691773928756953538e+00 -6.511174071030831456e+00
2.803936379458538575e+00 -4.612204275479300009e+00 -7.885571285994826596e+00 -8.022307023730480324e+00 4.649755063628120411e+00 -7.535893497391496609e+00
2.413208275679626702e+00 -2.892271458758261637e+00 -8.775804042890689161e+00 -8.929797713990026864e+00 3.170041259599420513e+00 -7.910317410832977458e+00
3.468750058721915774e+00 -3.518900153576463907e+00 -8.459007978928484661e+00 -7.409260623785535849e+00 6.489734103322668091e+00 -7.207778021858407769e+00
7.624096456413833600e-01 -2.821416919312714544e+00 -8.057096398078432031e+00 -8.705552836695519048e+00 2.523248969326106650e+00 -6.472573610647479825e+00
2.406174019799081520e+00 -3.061265268198810396e+00 -8.325956870249036967e+00 -7.917504554607925016e+00 3.465469702766739601e+00 -7.167601045869366416e+00
2.617102988832666455e+00 -4.120433521675007427e+00 -7.293737593462175539e+00 -9.390775747143061736e+00 4.877320188685088098e+00 -6.674386816533560918e+00
5.358598023377092012e+00 -3.489435723188293093e+00 -8.395109627278175779e+00 -9.543604956955304530e+00 4.300564836273591318e+00 -5.969249250910902305e+00
3.816567461551606755e+00 -2.393121270465307315e+00 -7.624236849225503931e+00 -8.968007745429114053e+00 6.342837666311767819e+00 -6.700566025699453476e+00
3.265469030322186494e+00 -3.210931009788672519e+00 -7.555105676443564455e+00 -7.706686757785425002e+00 3.988228168683467523e+00 -7.299312242898574610e+00
3.193278951238790242e+00 -3.101114499589359141e+00 -6.293509190084288107e+00 -1.065785920861250702e+01 3.905949349517802816e+00 -6.743549987297153159e+00
3.442806498906375356e+00 -3.641860861892602497e+00 -7.038178110132696119e+00 -1.091533545426287866e+01 4.208873391672407038e+00 -9.400535293412525917e+00
2.320360768974595977e+00 -3.797521362086689223e+00 -8.620715543042969387e+00 -8.065093958651456063e+00 4.294305300617397236e+00 -6.554042213890778790e+00
2.545300156677502645e+00 -5.004905205611441588e+00 -7.288976826294746303e+00 -8.953082387476472448e+00 3.429810907268241227e+00 -7.455020418533503168e+00
